Accession,Frist_Gene,Description,Peptides.used.for.quantitation,Confidence.score,UP,LB,LB,LB,glucose,glucose,glucose,glycerol + AA,glycerol + AA,glycerol + AA,acetate,acetate,acetate,fumarate,fumarate,fumarate,glucosamine,glucosamine,glucosamine,glycerol,glycerol,glycerol,pyruvate,pyruvate,pyruvate,chemostat µ=0.5,chemostat µ=0.5,chemostat µ=0.5,chemostat µ=0.35,chemostat µ=0.35,chemostat µ=0.35,chemostat µ=0.20,chemostat µ=0.20,chemostat µ=0.20,chemostat µ=0.12,chemostat µ=0.12,chemostat µ=0.12,stationary 1 day,stationary 1 day,stationary 1 day,stationary 3 days,stationary 3 days,stationary 3 days,glucose,glucose,glucose,50 mM NaCl,50 mM NaCl,50 mM NaCl,42°C,42°C,42°C,pH 6,pH 6,pH 6,xylose,xylose,xylose,mannose,mannose,mannose,galactose,galactose,galactose,succinate,succinate,succinate,fructose,fructose,fructose
sp|P06960|OTC2_ECOLI,argF,Ornithine carbamoyltransferase chain F OS=Escherichia coli (strain K12) GN=argF PE=1 SV=4,4,858.07,P06960,10.7754024203387,7.84536950355929,11.3289196027294,149.368807500509,114.439035431054,194.816687046596,8.23286535771178,23.5052957715049,17.3807122232766,39.6989409330388,85.1331763418303,32.1462571374608,70.0659290944713,24.6814934589999,76.4791313568814,43.8282781979873,57.6801912686529,38.7445733026199,78.3650135380867,51.9358953331907,50.7735752184415,25.2461079215166,45.4451473708539,32.0685534442251,103.544317214826,96.788448462736,93.2523015268048,42.0407410436315,40.469617605269,45.7093917753114,68.4457756618424,69.1810634204267,74.7402406166832,82.0292457572887,67.1053626042276,77.9445607383136,34.0731155440001,12.759742611818,25.472005410163,14.2809179355273,30.6973499180073,16.4882993764582,130.107268676932,99.6512911979171,159.718120770955,53.6409693889119,71.2935164888091,64.8158294744456,14.8385625837314,5.38843705603483,28.5552129575394,26.4344741074973,20.3811761398407,26.6599163007965,96.5064923582107,44.9486664232735,34.4186592692203,33.1427532979938,65.1657283150195,34.955337580254,17.6722541399815,23.9213049361422,25.737968754064,35.5067254623295,36.3522642524488,40.0251164067309,53.650230522628,47.7707544705274,82.7715584364596
sp|P09980|REP_ECOLI,rep,ATP-dependent DNA helicase rep OS=Escherichia coli (strain K12) GN=rep PE=1 SV=3,3,79.31,P09980,10.6959923766125,6.4983238805153,17.5282852419315,7.83344619146242,4.16279839312183,6.96209210086815,9.9516067615302,4.99092199578388,12.3044135547336,3.30512529164274,5.00061040362432,3.92382216776071,4.44377219735977,4.87182599719178,3.15371411107681,6.94546143851063,5.07050178098122,8.75820522624069,6.09609599600784,5.98469935503125,6.39511622074918,4.65579526330222,6.86630989868266,6.07115051650284,12.144066299226,13.979844546328,10.3065371616936,10.9801876474615,8.58703310732407,11.079784090151,6.12234312678407,9.75468368909384,8.61259643073858,6.53205160525674,7.36057932388256,7.29692425175351,1.23430863717086,1.1536660455435,0.755071202248275,1.80131235481142,0.854751691427389,1.0063214128729,6.09152318909813,7.22115337774459,4.46970485972154,2.82584425665967,6.59590871670776,3.51179620240715,8.92812153642366,10.1626224521058,10.02866368621,8.78940967633181,5.01012921597304,6.54706812713417,5.79093786789727,7.95153705942179,4.90390351817034,6.77124598050902,3.53788893336572,2.67225899055631,3.80071378764761,2.27202033899267,3.48111783848483,3.91281334963882,5.50268594871285,3.88052373765138,5.18250948466961,7.75817940501353,10.275496225473
sp|P77398|ARNA_ECOLI,arnA,Bifunctional polymyxin resistance protein ArnA OS=Escherichia coli (strain K12) GN=arnA PE=1 SV=1,1,60.24,P77398,10.6645682807971,2.17234471840831,5.63477495582677,6.43165833059242,3.1221192865721,8.53998165058629,0.988614051481968,1.90318158968293,3.45306493403746,2.59327954102543,4.34009750086531,3.46040480911986,6.28898447854856,7.47865129501604,10.4168554574808,2.75716593042564,2.26106243278649,2.61102050531718,10.2867696515204,12.1434575967844,9.54537039529508,3.73614176837355,8.54724587206634,8.55119688120651,3.26992832182401,3.79792975367756,4.05624767397819,4.16331712101328,3.96285377369505,4.75234501770669,2.89270140125621,5.25841258236634,3.49934986614521,2.77678833977335,3.03237889930179,2.69013313548348,0.246854303776519,0.00208643028563204,0.172756681720054,0.208852053955331,0.0036910372920733,0.0861339308302591,4.73985975373456,5.02170026818645,5.49186097766978,0.00361547248094032,0.785164109649095,1.15772829724958,0.264221127688975,0.0516127233881726,0.16130509450086,2.95068994756275,0.328779335412333,0.170068836458631,0.283258648629301,0.245306771106448,0.143537441221003,0.0914315704129294,7.42073011112692,0.139654104906015,0.0799123344533837,0.00286182276636193,0.00292223732975719,0.0395993147312723,0.313755446451329,0.063706949787609,0.0312424850829758,0.0237755704243112,0.00386909560407506
sp|P15082|SRLR_ECOLI,srlR,Glucitol operon repressor OS=Escherichia coli (strain K12) GN=srlR PE=2 SV=1,2,39.05,P15082,10.5524773551603,9.11489894054011,29.9090111688428,7.54615894444908,12.2642835788005,12.1867901710986,5.97967015482211,8.6312842066992,17.2178493044122,8.16338667845185,7.00605704163256,9.87273055567899,23.1269693219534,22.3233445803287,8.30156994384103,3.48778504848377,2.53562538445548,15.5969333281155,17.0700009512847,21.8151271211181,22.2703410286788,20.8306971161918,20.5862962211248,15.1613966427477,28.5640247108565,15.7993515800325,20.8125138718744,20.3285353941015,26.13127990409,5.40822785825931,26.190372852281,19.6978502989325,18.0518959452901,5.20020939820788,6.30527578280158,6.19942417549311,3.31574766464993,5.98038945417892,5.52890755934127,4.92597926372837,5.28554243317087,2.69502069916305,3.00167326085319,3.43786926301112,7.14218293009193,4.64318266011594,4.96271539579495,9.19250946716886,5.12050299533694,42.7370333192468,10.9111209379789,17.7457766913179,3.75379715638915,8.57813438085198,7.40771170836208,10.0943731122027,3.9948685359132,4.80018721681229,5.10434311963434,6.69417304573233,3.90350057389993,7.50534034068588,2.82550696613311,6.12659150068023,2.42876329479217,3.58066151413421,4.4118281326411,4.27913979384999,12.3480658347956
sp|P76342|YEDY_ECOLI,yedY,Sulfoxide reductase catalytic subunit yedY OS=Escherichia coli (strain K12) GN=yedY PE=1 SV=1,1,96.81,P76342,10.4172256315582,3.38762303272078,4.17754777910552,19.1592375638147,19.848565682224,21.5816788178395,7.79958346469683,5.78714048709282,8.36042598243315,10.835249417533,17.7356405189599,13.5626094211104,17.7841340269508,23.8306709067945,27.2939780854152,15.4006618757374,16.0038400489763,16.1510222087981,26.3055690528951,28.812492323892,22.3968080843553,10.9873585920137,12.0116729950499,27.3587789086403,14.8559677916514,14.6441730583024,10.2309032885092,12.0562627958388,10.6001600773382,8.10954072229561,10.8807441754502,9.4125525739912,11.5489594688211,16.0976800493356,14.0027931560644,13.2593915121447,9.71093507528308,10.4189160070637,14.2525810559451,8.19353440576296,7.69508983020877,8.28872337148572,21.0219012468582,21.2568033922734,15.1741931284229,26.2857749093214,21.9952746114763,15.1664619309762,27.7287261038889,1.1794648985258,20.8115527253414,35.8193364837577,41.2930753534963,54.5336177407731,15.8079083179807,15.0904066693794,16.3195559643476,25.5423734769226,19.3607337364057,19.4849256442084,28.7051370275533,29.0133773032624,34.6819319786784,12.3763276612462,22.3050009784597,26.2546228999342,21.9598831936482,34.6669407062428,33.4977648850985
sp|P77554|YAHJ_ECOLI,yahJ,Uncharacterized protein yahJ OS=Escherichia coli (strain K12) GN=yahJ PE=4 SV=1,2,79.98,P77554,10.3563010754262,4.97126442716019,7.74141147170842,4.75560972664925,2.19102457064477,1.80073917963243,4.33938394276337,7.18301865988087,2.59348837032811,7.79850789579997,8.34456965556251,10.6693221386775,9.91575013811117,4.79279927846549,5.43986702858949,4.39332783990408,5.00526551521442,5.00986979202999,9.55684874702525,6.75147952494064,8.95491192858081,7.60604696384703,4.17718477634738,7.71022979255621,4.01831633965083,7.17647143069816,12.4792692821306,7.40968762638681,10.2103566271754,10.6658073392359,9.18211781482951,8.48183618362702,6.93727964785657,8.16538130285493,4.15534966061535,7.23123212639336,5.91004276879029,14.2781547583224,6.18344253568407,6.92624399706629,7.39822054441258,8.68749277105309,10.1274831915117,10.1252797403838,10.706105872718,17.5705615083778,15.2730267035193,12.5649610745095,5.71464068352279,22.4356954276486,15.312387519995,14.909772835066,16.2925739391369,13.3457696227941,11.8004066202196,10.8273142054576,12.3114594522739,11.0653668381811,13.2238506090085,16.4704867060321,14.8147865606421,13.7778245083825,13.449046825381,9.89743824229149,9.44389956979617,11.4512317415854,9.18045509510143,8.61705618639627,6.64832441638885
sp|P0AFJ5|PHOB_ECOLI,phoB,Phosphate regulon transcriptional regulatory protein phoB OS=Escherichia coli (strain K12) GN=phoB PE=1 SV=1,1,36,P0AFJ5,10.277439143529,2.30623672132628,9.11910677121735,9.7133128231387,4.05586239538417,7.37391421480307,18.0927776107863,30.3842352396764,18.7996336610894,7.35216841034559,10.4575578238093,10.8206812236158,16.2591650360504,11.077444917328,20.1916186937226,13.7179631825236,15.1644619364745,6.70355020408027,23.5158132010966,14.1235688155143,15.907257062175,16.3981611243217,13.2392011126791,13.7006702318339,8.85236896287893,13.6974676009366,11.8223871751457,6.04638641640798,2.57413179184372,14.5398646496363,13.5211996939231,8.93972780563766,7.8329569418146,5.60743734123077,12.8643433129088,12.9323816593715,0.296020575049589,3.25141406528892,3.75201378071862,3.89037694911525,12.1270955876097,15.1311433615906,15.1708610475066,2.24772822558299,2.1581716030963,23.1839961200176,18.4780809707032,16.750763720337,1.0436415262414,2.48208266352376,17.1180703217476,27.4859131592074,24.7630397312122,17.7366715397631,16.7556703614689,8.95061456693254,16.8845445159428,7.4577448082468,17.0442899584083,3.8568812566344,11.9928516647144,15.0761426487266,19.4562935092761,15.8236699115206,0.957037169516099,18.7641867829717,7.34574819798649,10.5924898196136,7.45134168419637
sp|P39452|RIR3_ECOLI,nrdE,Ribonucleoside-diphosphate reductase 2 subunit alpha OS=Escherichia coli (strain K12) GN=nrdE PE=3 SV=3,5,199.35,P39452,10.0917213672705,8.01846387514843,5.07971362297689,11.0100365723405,15.296635208841,14.3658883181774,16.1120038601729,23.6038112311217,17.3441917739396,7.4243340797934,9.99994348076832,8.1446791872568,8.25896081473277,9.47395981094748,11.0390787060282,11.4266642749324,13.654936729281,11.029271162525,11.900932267921,12.9366737240352,11.4210880711108,14.3611671014257,11.5055414887154,14.0111836345856,24.6531585910836,30.7305377094691,12.9141211506678,10.753610530124,8.19136769322809,11.5866668664814,5.86419585830506,7.22438608438852,8.16245218394907,3.97739041067313,6.40366067327387,3.92718166498175,4.95602035421548,7.37225076232156,14.9969987238985,8.03461801239768,9.69542404914175,11.6440679634915,8.37562429606158,5.6528976231454,7.21372119165771,24.7700217727502,40.7772597601105,39.9439010450481,13.1201528513992,8.07575227629393,5.57428887620142,9.05479658337357,8.08891524976136,22.9318091435737,41.4701827858715,40.4165716220079,25.5801278037716,11.5878784233562,10.0801182438443,9.37164414777932,18.1269295919415,8.2338751449801,21.7027300738113,12.5101530883708,6.92952998224498,8.51835229008183,10.5458068055263,12.8528195631432,13.5564973498819
sp|P0AEV9|HYCI_ECOLI,hycI,Hydrogenase 3 maturation protease OS=Escherichia coli (strain K12) GN=hycI PE=1 SV=2,3,119.99,P0AEV9,10.0175007161709,10.3579418153191,8.1707344356891,4.86858157955432,14.3288555152584,10.8429217720395,17.0385570217315,15.1918409668875,6.03635616977523,12.5388492998003,14.4948932907772,7.2719262555081,10.1201174261411,11.4338950085508,9.07851792767936,10.795594015712,16.5888551491484,14.1498867239512,12.9029117020253,19.1066417392342,17.3268060422638,16.7619844480735,8.58681042352539,17.6356275485978,8.90061262110928,12.7739476611225,12.0033766972351,11.1530734668617,16.4582869607187,9.66931926612007,15.3701189930913,9.29760222312473,10.871369926715,11.384766860833,12.0251831009271,7.01915566542363,38.7918929386972,1.1223928237557,102.922085316208,20.7521354077606,3.1706179061076,16.9260321358182,20.5742343507744,8.5067003170929,6.51977359299386,13.1979295842944,11.2763852657204,35.9718673018997,13.5241811168481,16.9340327860362,33.1501248370219,9.16243157735724,29.9894163520036,36.0816095891211,20.6238846730303,20.4834672356257,20.8525324620392,17.3777346021317,12.8566455220995,12.4807018142467,25.8879193422696,20.4182454365944,14.5746811675056,14.5189350798908,10.5415420258033,20.8956255481115,15.8545685847005,7.79093752860843,15.4883129323846
sp|P68739|NFI_ECOLI,nfi,Endonuclease V OS=Escherichia coli (strain K12) GN=nfi PE=1 SV=1,1,70.22,P68739,9.92602505829914,7.09351071398385,1.92232177653449,8.1638187148119,7.28407415453074,11.8130473450529,16.8148860473544,11.3130133714126,12.9139827460397,8.49337606502254,15.9430707965445,13.7944180841655,10.1485337173333,11.4281030272011,12.0236336924121,10.3581214689396,9.97419905270733,15.4542240479358,8.64377517935673,10.6311589658832,11.5108923555489,9.36037392337874,4.09020767701379,6.1702361490615,8.11387516291326,7.71178785120962,8.75533118288295,7.37860214746634,6.44657159733424,10.288219118838,6.08922817340213,10.6263229727285,9.06462124875631,9.37786545857782,8.3093030669036,10.0110254634347,12.4738663523109,9.09097720143598,13.5266811924318,10.7888261519726,6.87446085083971,8.63036905685981,7.07171558624297,3.49679597946811,6.30283035392698,1.87099291044354,14.0495870065393,13.749893786672,7.10229842904252,8.3102874391273,5.69611009692554,8.61649724300629,8.86165145283063,13.7406236124061,6.94265223416476,2.69010309530387,10.2244147254917,6.99232901228627,5.72414209273227,4.60878111063126,8.58890996820872,14.4830582867071,14.4698803959675,6.30433448942554,8.57008564946197,14.2057830510133,2.81733678199223,10.1898143915717,5.23646821812554
sp|P08368|CREB_ECOLI,creB,Transcriptional regulatory protein CreB OS=Escherichia coli (strain K12) GN=creB PE=3 SV=1,1,56.38,P08368,9.75290466472344,8.77317497183993,11.3007660457333,9.50609080729899,7.5556818043044,6.98675168516487,7.72985488118088,13.5430716538825,8.33040000283052,6.86133618860643,9.04430134238863,7.2331449554121,7.00838828095988,8.12722710819063,5.68610193413055,4.71841324835033,6.63222746239557,4.74757901157836,5.75623785089941,6.83769194149978,4.93020617515397,4.67700872149454,9.29971528227341,5.4809941013892,6.33854313336701,4.84979970911019,5.95743699019231,5.29183467114686,8.01323288988103,5.20420406614517,6.2795775328766,5.76295314045213,4.18814930825575,5.23229014040291,3.40490163753404,5.50038060403473,0.480222423789497,0.467820825697494,0.00612086681819475,0.00601118633465433,0.21099093012855,0.867159780308152,0.0107676780509634,1.62687454598775,3.15953945587339,0.0103916238097772,0.0105467489917356,0.612410648215426,1.13198249815322,0.0111296131360831,5.44593793852254,0.64243028905656,1.164088404364,0.418435711076126,1.21767011925939,0.285466906003521,0.0105190500603116,0.00995863205520117,0.185393835563973,2.53605780767832,0.54771482333653,0.00816710824367842,0.0430842739777272,0.703493172473227,2.36434967896706,1.76001644705725,2.48053312596568,2.57710975518204,3.3550818578681
sp|P23305|YIGA_ECOLI,yigA,Uncharacterized protein yigA OS=Escherichia coli (strain K12) GN=yigA PE=4 SV=1,1,52.31,P23305,9.73865914822511,12.0494895164726,13.0936525211841,10.1118049976089,9.92117533663506,9.31484855115982,0.439207331790945,11.2993512170385,1.00542211646671,3.96935187854113,4.70763915741763,5.15092678491649,9.34220591515531,11.7528361329882,8.99310393046912,7.49898807417191,8.53204765293373,10.4312804887656,10.289772448696,10.2691747655194,9.74803751900201,8.75352368476296,8.91988193023221,10.1896991717464,9.5161207216425,8.27578747499263,9.43046285056713,5.41135223137646,6.7276881691432,8.63224096277542,5.10088662938356,4.53615656868748,3.63113088731321,2.98952277779751,3.8421547148151,3.0617786839003,0.218611635598094,0.00565315467651678,0.00560531201988318,0.0298091972520531,0.00551907213679975,0.0478339152659709,11.3732525668003,8.66699097898377,7.95089530509856,5.25898832981658,6.5120040917081,8.95078498126194,1.61348835036661,0.0102985757794544,13.7057197118509,6.24201844216121,6.82888279141432,7.6488682093113,19.1842501336546,14.5567445542475,12.7619203108516,8.25778285055629,8.43414358195312,7.62900620554518,7.43016584944918,7.04491111772216,5.29075022011938,15.3635196983875,10.6791728707266,14.4627158886629,12.6917368528246,11.4572669370786,13.2916072460226
sp|P05804|BGLR_ECOLI,uidA,Beta-glucuronidase OS=Escherichia coli (strain K12) GN=uidA PE=1 SV=2,2,58.88,P05804,9.46815843095652,4.84125654419293,6.49716608575977,2.11915761927131,1.29623316651902,0.164828198274919,0.599577596314281,0.0162063114548868,0.610618601075193,0.471365785229719,0.665866925961981,0.615848686496101,0.787706971389181,1.21749732521027,0.436397676640518,0.899347503710336,0.361303886539639,5.77185417556047,0.221732604649248,1.36368518018116,0.557569535087628,1.01347151371311,1.47648172753813,1.31634947540868,0.866954954545117,0.17400233396056,1.65606900900888,4.31331486187728,4.23501300674264,3.48874030332589,3.96899716172979,9.96785002028451,6.96039167291456,10.1623665891618,11.5828006543369,13.5759718249675,3.12099086812213,11.2194815288756,2.76122574316654,4.43629452094653,9.4694691622105,1.67472795571235,0.83340278824573,0.380591312261795,0.158795926022808,4.96141221530012,13.9007655446418,6.50964151982807,6.04132031544872,11.226491745913,1.47421878052278,2.24481344168634,3.69822240601047,0.221151586792392,2.05848643230218,1.48166429846777,6.33062505528048,1.51281317192951,1.48601341545012,0.987771729553124,1.18215878896553,1.38461762409222,0.229825356257979,0.472740520859764,1.06635706666454,1.94024836120769,2.80545037925225,0.760725530450729,1.59837081452966
sp|P0A8V0|RNZ_ECOLI,rbn,Ribonuclease Z OS=Escherichia coli (strain K12) GN=rnz PE=1 SV=1,1,56.13,P0A8V0,9.31486135491513,11.1501306296207,10.3157237256505,6.97817368330538,7.26585304358004,7.41396100543022,12.3793049621194,11.9781983584477,9.03853265294062,3.93213375360166,3.6132712737287,3.18677108380344,4.81932265047085,6.40866586669974,5.77212869850286,4.18080130364872,4.48814266657886,4.04354178327845,6.85723282179533,6.12512184662676,6.80193925361204,8.80727405489026,5.31550788295895,8.67813461321787,3.71625489152204,4.08532074021794,3.72943363074329,3.07004963255738,3.38528592041326,3.8128413317298,2.03001102768985,3.33882249917249,2.41685258301871,2.08082255399327,2.71548594021737,1.70386973355007,2.25970436310904,2.3270203642216,3.20913137492525,10.995809062227,2.49095105969101,9.81602480264144,8.27373129978575,8.08282814957828,8.54667133198901,6.28841523622481,6.44428608380087,7.02369558025857,8.52909937484114,7.34546168036525,8.29153073817245,10.2711621251971,11.7481369138145,10.8321561081238,5.72287592099873,4.89293634230036,8.32393373403495,7.23176789572014,5.03551956532975,5.53355505307028,3.51515214369169,4.71342259765764,2.88099630856671,5.59496376969405,5.26058125506276,6.60055506254215,9.76947664242936,8.12014172600387,9.82683018195411
sp|P16869|FHUE_ECOLI,fhuE,FhuE receptor OS=Escherichia coli (strain K12) GN=fhuE PE=1 SV=2,5,456.42,P16869,9.20290224526361,13.3244464830395,19.6953856554016,16.7708009937942,18.6155775749171,27.2840913803459,18.4318412539814,18.2199926897659,15.9240110634269,19.1678660628608,7.8970251676468,16.1521416776319,12.2548358038488,13.8127612599136,11.5315516006194,16.1660910627791,18.800798176421,31.1890438242852,13.9339028248527,9.97273153186798,11.3086060346625,8.40327067934422,11.9534679896546,12.4922836233793,10.8900884872109,4.74031487169088,10.378560361542,10.2921583498212,7.58042147843055,12.0827163649256,6.15396101148838,6.45632643542065,6.44297167226696,6.190903410596,5.81574740423758,6.24723929328922,85.8795761439439,88.6344158296361,49.6467214174524,84.0768966032406,87.502745480603,93.5559070223912,21.8707731361592,16.6446522640853,16.6120952330361,238.971563226197,156.134979771484,131.950640065325,12.2376544185158,24.4825720004189,11.3584662390136,33.3968938641419,27.4398933844426,34.7101156994432,66.8972835356507,77.6438879579248,61.001188498527,10.1539040784648,6.00516435189639,9.81823774622121,11.8694283333324,14.9570249798936,10.1173335617564,21.4996203207659,7.91825497804951,9.27937653965239,9.77890278511963,11.6868009748084,8.68601548419607
sp|P39321|YTFN_ECOLI,tamB,Uncharacterized protein ytfN OS=Escherichia coli (strain K12) GN=ytfN PE=1 SV=2,1,75.45,P39321,8.92691505522017,9.38366485673432,13.1374513393092,2.9866279893012,3.37308202800129,1.87654741867295,2.17875638361075,2.86069471515856,3.27202352875251,1.47237950168086,1.77115162520994,1.6012824244331,2.47268872765618,1.83920076603836,2.24348352823905,3.6733071138829,3.36724860446105,2.75640495481008,2.0585331734018,2.01448511006622,2.2957192854012,2.91948091729493,4.24557947472967,5.2503937300936,3.23379799340739,4.00903821784976,4.23222075972256,4.17475912850828,3.14899277734671,4.56836172778859,3.23754989227719,4.7851294964832,3.59457498423069,4.23986594239694,3.19699835279606,2.99442299477156,4.5622835324968,5.59441915906662,4.47223657131808,2.7041688787004,5.27172964150766,2.93884461779389,4.75851262801396,3.83206151043096,3.72186763158889,3.18297509272476,5.85427881079528,3.74382630996375,5.12154819682429,8.46811697416635,6.35214517066759,4.30514941325008,5.89631024247669,5.64075114491904,3.96035170567298,4.62903752296874,3.46183477321506,4.18760494532555,3.42603123387692,3.63224596645323,3.03405271748506,1.31882499271095,3.56705380858055,2.47920752563457,3.67209511131162,3.04798885433113,4.24052052653357,4.02887746998979,3.76857513515304
sp|P0AG76|SBCD_ECOLI,sbcD,Nuclease sbcCD subunit D OS=Escherichia coli (strain K12) GN=sbcD PE=1 SV=1,1,43.53,P0AG76,8.86903267492089,13.5029623311063,17.184847090165,12.8015037678583,8.17211350262928,10.6603534228417,14.316433593306,12.9290902969717,6.21422483949771,17.6731970248207,7.95260800948877,23.1838329045087,21.5717801176712,9.15673487808509,11.4929467758202,12.0757763165562,7.47527221275366,0.140218939668933,0.892869916229415,1.9818085498873,9.13183239664191,6.98282386490385,7.05372136405417,0.218739079126992,5.49065383353765,9.15527254113818,1.12263071429993,3.25952330939973,12.6790170457681,0.0734683234967244,1.76620196708149,0.947038381996601,4.59410810023954,0.764096956008056,0.947758608780244,0.00505061944757791,0.304083598331889,0.242954035904072,0.00394101602241995,0.00388450301568225,0.0221735194578642,0.620928321002259,0.0744980100036414,0.923613356927651,4.91841958426924,9.35023364697888,0.00675027122505683,0.0104281108434529,0.0257262997605952,0.0846496025818415,0.5044833106504,0.00704287524586314,0.599986967421356,0.00700599592080436,6.26279374120481,0.00681158929110752,7.78846714904573,2.74996066741256,0.992614259865704,5.1845826254899,6.33586459528165,0.00540455411387456,0.189542499752485,1.33996463846561,1.4888566282997,0.0652010609796986,8.48383567633964,0.502428330394402,1.81088815791938
sp|P0AEB0|CYSW_ECOLI,cysW,Sulfate transport system permease protein CysW OS=Escherichia coli (strain K12) GN=cysW PE=1 SV=1,2,132.75,P0AEB0,8.74743289046189,14.7544266835987,4.11388067453817,45.154799682003,37.3491051477255,39.2209104336139,20.8412223585282,19.256111284259,18.07809549244,24.4773940817635,41.7583925460092,26.5814267221845,43.1666208096356,44.652057652542,49.9014971315936,34.2279569129496,31.77009085337,36.4630588301449,41.7871902488263,43.8592767209993,41.9692783415476,44.7194077591511,51.2922230924583,34.8540589396337,54.3834966114666,62.9001525860763,39.9894223365582,36.9932399999358,32.1781767450036,27.3620261123299,25.0715308299406,20.6818485857537,18.563078166094,9.84018135303248,9.08199564347627,5.91498707037721,0.813407257665092,0.433434776865534,2.70495996806343,6.84941363282564,3.66973479648063,3.26593854670557,25.9784792992135,26.1679102066531,31.0875796581472,8.00102863490161,21.6864303378038,4.93308050116967,68.2891515113458,11.0017179346203,59.6146102237103,22.6293790874359,29.839894849837,40.7446249169702,38.5383333773822,21.3624421725014,50.646572847793,36.4730759360161,29.1597494224442,30.0322152838774,31.0937223242649,17.6035571402552,21.2102982977242,33.9311344054204,50.2130903943927,47.0180851100287,70.664859643314,82.170927343801,55.7153125528099
sp|P02916|MALF_ECOLI,malF,Maltose transport system permease protein malF OS=Escherichia coli (strain K12) GN=malF PE=1 SV=1,2,113.19,P02916,8.62049968274388,3.3081491187033,5.58461176163386,0.782463144425595,0.0764560234317562,0.930448670020632,0.421990801364136,2.67170420036268,7.59134009905434,1.55979084374497,1.29887727143336,0.351617465102592,2.06403274736609,3.09744881778606,4.70527214337721,2.71513506308962,8.13581758506965,3.15072614275261,1.99164680365545,2.44219835679907,0.522032751582548,1.83883882861498,4.35829073582503,3.92410787307698,27.7520778080501,32.2074110266319,28.8010082956464,49.3696545442372,53.5247012100422,63.8916538150286,27.0985185837432,56.2755829359023,61.198720344673,16.8771564890642,30.292677539191,32.438355635939,0.195188141271064,0.0044935501751578,0.00456593162020274,0.161201354065439,0.00445962819676976,0.00447484447966078,1.22470589810791,3.04949069658844,2.85622753756806,0.00785800581910511,0.285715161148214,1.2481933860957,1.79235224677321,1.22049079609518,1.46489182771666,2.11909057317496,2.48975076599281,0.00818787688540691,1.02590575950992,0.00788503762917058,0.192227457965115,7.35477005403998,5.53097338926521,9.4528646085809,2.56182891383207,1.65708556998655,1.259979104775,0.657441643029544,2.39371860413622,2.67491512201197,4.94881803625718,4.24215012671312,3.73655300349188
sp|P31697|FIMC_ECOLI,fimC,Chaperone protein fimC OS=Escherichia coli (strain K12) GN=fimC PE=1 SV=3,1,64.64,P31697,8.58972493116707,8.39197334885345,7.29608255141679,4.83479081464334,0.495507907094109,0.0102940345976504,0.0140346297077535,0.013674186932991,0.149999222221533,1.48311354814706,1.11713432156521,1.53206186058421,0.287226652848504,0.417542475227938,0.635720843640248,1.6520610226732,0.27955576942536,0.00935095589147597,0.00965467998844868,0.00951297109476337,0.733821883164331,0.00896504892958949,0.24077414569481,0.00903836914272689,1.21089836882877,0.00981000370724905,0.268794314793672,0.008604851421776,0.00866661088056857,0.432841302752342,0.259745613753641,0.38568721099641,0.0180085293653246,0.590870848373944,1.04735908011284,0.088536164410778,0.00568095544196597,0.338100897248215,0.00580290533931352,0.405147356685964,0.677547820653559,0.00577598836512912,0.64992555076164,0.913550377671591,0.376244996770475,7.69090860841709,0.677266816483645,3.19532161890319,0.0107521161298941,0.651196751543983,0.0107499472554753,4.27707412611525,5.93575002942626,17.1672263914904,0.0100895651408735,1.10571974664403,0.0100502175596456,0.263372149146415,0.833426040947109,1.22414796161344,0.618806587686423,0.0079220486200982,0.00793898059247404,1.96687191981443,1.02756360523928,0.683357992362922,0.773871734525998,0.0106021538984881,0.0106659430828887
sp|P18775|DMSA_ECOLI,dmsA,Anaerobic dimethyl sulfoxide reductase chain A OS=Escherichia coli (strain K12) GN=dmsA PE=1 SV=2,5,293.36,P18775,8.53866837679389,10.4707928804799,9.10364347929504,1.45239508908003,1.39441935963157,1.08599706611609,1.60764137673563,3.03783644012389,1.45925408266722,0.869247995956053,0.614723142483948,1.30407999525038,1.21660860198286,1.79044909493082,1.91897883707178,1.94285521955716,1.49756420450999,1.2821340330443,1.81081590978234,2.85811335301884,2.33440380035505,2.67644778339877,1.22995908003238,1.96486406597514,2.30084974085918,1.82109991099824,3.99526581986476,0.740558958839557,0.617158678201345,4.46609188485662,1.04398900433339,0.505819385442934,0.516883333914534,0.839038190772858,1.24729221188669,1.02555884173489,1.9102159988003,1.94011024398404,1.43050562741817,1.02765075057276,1.89464047600299,2.29610167629358,2.42463143877056,1.35188529526734,0.59031553192885,2.6269863766788,3.70266931683939,1.70937970416017,1.30462514567615,1.46121297007775,2.02553715843915,2.56653018176423,2.52541390241731,1.90266153801046,0.922425853080397,1.28563723897928,1.87929479217861,0.767296708930906,1.02306689679881,0.46431635573541,1.41044077068699,0.795338063191747,2.31810263884255,0.957801738269963,2.12406575525345,1.81931998574735,1.31607288989413,1.29305606449538,0.797856276779214
